headphones;width;height;fov;fps;stereopsis;antialiasing;textures;lightMode;saturation;brightness;contrast;sharpness;shadowStrength;reflections;modelsDetail;dof;particles;locomotion;ambientSound;reverbZone;spatialSound;time;totalImmersion
1;1361.911;756.6174;62;18;1;0;1;1;0.1354493;0.1996911;-0.6603741;0.3826906;0.9395601;0;1;1;0;2;1;0;0;588;23
1;1313.201;729.5562;86;34;1;1;0;0;0.1491979;0.3900497;-0.6435034;0.04733622;0.1022676;1;1;0;0;1;0;0;1;729;35
1;889.885;494.3806;71;25;1;0;1;0;0.03455913;0.2636118;-0.4509783;0.9569914;0.01968193;0;0;0;1;2;1;0;0;597;58
1;1999.876;1111.042;50;57;1;0;1;1;-0.9031029;0.289291;-0.328189;0.128541;0.7682894;1;1;0;0;2;0;1;1;972;72
1;225.069;125.0384;89;31;1;0;1;0;0.08537638;0.3521566;-0.1645812;0.4280779;0.8681918;1;0;1;1;1;0;1;0;1058;27
1;891.5537;495.3076;33;15;0;1;1;1;-0.2925559;0.6533895;0.5151213;0.5244359;0.6210257;1;0;1;0;2;0;0;1;341;65
1;578.3494;321.3052;96;21;0;0;0;1;-0.9303858;0.01431876;-0.01510918;0.384735;0.125528;1;1;1;0;1;1;0;1;292;29
1;1456.344;809.0801;85;18;0;1;0;1;0.6290548;0.368852;-0.4512463;0.3459616;0.8244084;1;1;0;1;2;0;0;1;1151;35
1;265.1235;147.2908;86;55;1;0;1;1;0.7030962;-0.5614638;0.6837255;0.3572864;0.8079382;0;1;1;0;1;1;1;0;487;34
1;1810.307;1005.726;73;32;1;1;1;0;-0.1726609;0.7932283;0.5016138;0.8189721;0.9248102;0;0;0;0;2;0;1;1;844;71
1;1138.572;632.54;45;23;1;1;1;1;-0.05073011;-0.4690819;-0.6714044;0.7997468;0.3091264;1;0;1;1;3;1;1;0;1068;76
1;1531.85;851.0278;36;31;0;1;1;0;-0.7814901;0.2477083;0.05170238;0.7703828;0.5201541;1;0;1;0;2;0;0;0;904;59
1;1198.628;665.9042;63;45;0;1;0;0;-0.6768839;0.1974009;0.06985366;0.2782963;0.2516479;0;0;1;1;2;1;1;1;601;59
1;807.6406;448.6892;57;19;1;1;0;0;-0.2213303;-0.1154096;-0.1989051;0.8062725;0.1419201;1;1;1;1;1;0;0;0;881;27
1;1952.994;1084.997;97;27;0;0;1;1;-0.3590158;-0.1722558;0.4130383;0.5806761;0.5845777;1;1;1;1;2;0;1;0;673;74
1;765.7714;425.4285;84;23;1;0;0;1;-0.07753336;-0.6209486;-0.09775722;0.03985059;0.488072;0;0;0;0;2;1;1;1;915;46
1;2089.657;1160.921;76;57;1;1;0;1;-0.1136354;0.4624374;0.588501;0.4988595;0.5823222;0;0;1;1;3;0;0;1;1112;82
1;1061.632;589.7958;85;57;1;0;1;1;-0.7069373;0.514595;0.0504697;0.6294879;0.7467548;0;0;1;0;2;0;1;0;1047;42
0;1293.315;718.5084;83;24;0;0;1;0;0.6419992;0.4676309;-0.01337636;0.7870784;0.4599988;1;0;0;1;3;1;1;0;325;37
0;1567.903;871.0573;55;39;0;1;1;1;0.4597842;-0.7736256;0.1968721;0.3837735;0.6368327;1;1;1;1;2;0;1;0;726;40
0;378.982;210.5455;93;26;1;0;0;0;-0.7071967;-0.7059044;-0.2859355;0.1424918;0.9236068;1;1;0;1;1;1;0;1;311;18
0;2065.488;1147.493;94;41;0;1;0;1;0.8590605;0.05907983;-0.1752807;0.7039701;0.1759546;1;1;1;1;2;1;1;1;1185;32
0;1407.276;781.8203;90;47;1;0;0;0;-0.2733666;0.3419552;0.3765242;0.03421211;0.4415292;0;1;0;1;2;0;1;0;667;25
0;731.1163;406.1757;39;42;1;0;0;0;-0.995295;0.006103039;-0.3410615;0.08309865;0.5095052;0;0;1;1;2;0;0;0;938;35
0;753.8392;418.7995;46;29;1;0;0;0;-0.3074762;-0.4618605;-0.0120185;0.8924929;0.6773273;0;1;1;0;2;0;0;1;524;56
0;326.51;181.3945;72;49;1;0;1;1;0.9513268;-0.08459443;0.06389153;0.8194686;0.02068341;1;1;1;1;3;1;0;1;767;74
0;663.6848;368.7137;89;23;1;0;1;1;-0.1160892;-0.5800198;-0.6219849;0.0916332;0.2106888;0;1;0;0;2;1;0;1;1144;40
0;1545.269;858.4828;58;24;0;0;0;1;-0.008345723;0.068735;0.7200058;0.4171824;0.67216;0;1;1;1;1;1;0;1;1183;35
0;1716.541;953.6337;77;37;1;1;1;0;-0.3425726;0.7567305;0.7258881;0.6877927;0.4918236;1;1;0;1;3;1;0;0;1050;65
0;1765.174;980.6522;97;20;0;0;0;1;0.6233504;0.4515484;-0.1221682;0.7481083;0.9076465;0;1;0;1;2;1;1;1;545;26
0;1363.378;757.4324;36;38;1;0;1;0;0.6104188;0.007134318;-0.1212159;0.4576864;0.6502943;1;1;1;1;2;1;1;1;988;29
1;972.9508;540.5283;37;27;1;1;1;1;-0.00063622;-0.4730168;-0.1029989;0.5972609;0.5982565;0;0;1;0;2;1;0;0;1136;69
1;2013.195;1118.442;73;25;0;1;0;0;-0.9703691;-0.5682569;0.5576634;0.7435815;0.4033534;0;0;0;0;1;1;1;1;904;54
1;1353.592;751.9958;37;41;1;0;1;0;0.655201;0.6987181;0.6097626;0.8548683;0.456402;1;1;1;1;2;1;0;0;921;71
1;922.7317;512.6287;74;60;1;1;0;0;0.4319327;-0.7604752;0.3817406;0.3346664;0.5648164;1;1;1;1;2;0;1;1;882;25
1;814.2175;452.343;47;24;0;1;0;0;-0.8685822;-0.002766311;0.5571761;0.6889807;0.1692361;0;1;1;1;3;1;0;1;461;38
1;2155.181;1197.323;65;60;1;0;0;1;-0.8272295;-0.7705118;-0.6249567;0.4090073;0.2446072;1;1;1;0;2;0;1;0;1059;27
